stem,stage,stratum,outcome,action,forms,n_forms,forms_listed,forms_missing,deciding_source,stem_status,mw_stems,part_of_speech,decided_date
sashless,3,not-in-wn,mw-absent,none,sashlesser sashlessest,2,,,,,,,2026-08-14
scrubbable,3,not-in-wn,inflection-absent,none,scrubbabler scrubbablest,2,,scrubbabler scrubbablest,medical,valid,scrub scrubbable scrubbed scrubbing scrubs,verb,2026-08-14
sestercentennial,3,not-in-wn,mw-absent,none,sestercentennialer sestercentennialest,2,,,,,,,2026-08-14
shrublike,3,not-in-wn,inflection-absent,none,shrubliker shrublikest,2,,shrubliker shrublikest,collegiate,valid,shrub shrub-like shrublike shrubs,noun,2026-08-14
sidedress,3,not-in-wn,inflection-absent,none,sidedressest,1,,sidedressest,collegiate,valid,side dress side dressed side dresses side dressing side-dress side-dressed side-dresses side-dressing sidedress sidedressed sidedresses sidedressing,verb,2026-08-14
silvical,3,not-in-wn,mw-absent,none,silvicaler silvicalest,2,,,,,,,2026-08-14
spheroquartic,3,not-in-wn,mw-absent,none,spheroquarticer spheroquarticest,2,,,,,,,2026-08-14
spillable,3,not-in-wn,inflection-absent,none,spillabler spillablest,2,,spillabler spillablest,collegiate,valid,spill spillable spilled spiller spillers spilling spills spilt,verb,2026-08-14
stomatopodous,3,not-in-wn,mw-absent,none,stomatopodouser stomatopodousest,2,,,,,,,2026-08-14
suboval,3,not-in-wn,mw-absent,none,subovaler subovalest,2,,,,,,,2026-08-14
supraliminal,3,not-in-wn,inflection-absent,none,supraliminaler supraliminalest,2,,supraliminaler supraliminalest,collegiate,valid,supraliminal,adjective,2026-08-14
suprapolitical,3,not-in-wn,mw-absent,none,suprapoliticaler suprapoliticalest,2,,,,,,,2026-08-14
testable,3,not-in-wn,inflection-absent,none,testabler testablest,2,,testabler testablest,collegiate,valid,test testabilities testability testable tested testing tests,verb,2026-08-14
tibiofemoral,3,not-in-wn,inflection-absent,none,tibiofemoraler tibiofemoralest,2,,tibiofemoraler tibiofemoralest,medical,valid,tibiofemoral,adjective,2026-08-14
timereversible,3,not-in-wn,mw-absent,none,timereversibler timereversiblest,2,,,,,,,2026-08-14
titaniferous,3,not-in-wn,inflection-absent,none,titaniferouser titaniferousest,2,,titaniferouser titaniferousest,collegiate,valid,titaniferous,adjective,2026-08-14
tonofilamentous,3,not-in-wn,mw-absent,none,tonofilamentouser tonofilamentousest,2,,,,,,,2026-08-14
trinodal,3,not-in-wn,mw-absent,none,trinodaler trinodalest,2,,,,,,,2026-08-14
unbirdlike,3,not-in-wn,mw-absent,none,unbirdliker unbirdlikest,2,,,,,,,2026-08-14
unconsolatory,3,not-in-wn,mw-absent,none,unconsolatorier unconsolatoriest,2,,,,,,,2026-08-14
undauntable,3,not-in-wn,inflection-absent,none,undauntabler undauntablest,2,,undauntabler undauntablest,collegiate,valid,undauntable,adjective,2026-08-14
underglaze,3,not-in-wn,inflection-absent,none,underglazer,1,,underglazer,collegiate,valid,underglaze underglazes,adjective,2026-08-14
underreact,3,not-in-wn,inflection-absent,none,underreacter,1,,underreacter,collegiate,valid,underreact underreacted underreacting underreacts,verb,2026-08-14
unencyclopedic,3,not-in-wn,mw-absent,none,unencyclopedicer unencyclopedicest,2,,,,,,,2026-08-14
unfoul,3,not-in-wn,mw-absent,none,unfouler,1,,,,,,,2026-08-14
unfreakish,3,not-in-wn,mw-absent,none,unfreakisher unfreakishest,2,,,,,,,2026-08-14
unidentical,3,not-in-wn,mw-absent,none,unidenticaler unidenticalest,2,,,,,,,2026-08-14
unipart,3,not-in-wn,mw-absent,none,uniparter unipartest,2,,,,,,,2026-08-14
uniplanetary,3,not-in-wn,mw-absent,none,uniplanetarier uniplanetariest,2,,,,,,,2026-08-14
unkenned,3,not-in-wn,inflection-absent,none,unkenneder unkennedest,2,,unkenneder unkennedest,collegiate,valid,unkenned,adjective,2026-08-14
unsnap,3,not-in-wn,inflection-absent,none,unsnapper,1,,unsnapper,collegiate,valid,unsnap unsnapped unsnapping unsnaps,verb,2026-08-14
uppile,3,not-in-wn,mw-absent,none,uppiler,1,,,,,,,2026-08-14
urnlike,3,not-in-wn,mw-absent,none,urnliker urnlikest,2,,,,,,,2026-08-14
vasculiferous,3,not-in-wn,mw-absent,none,vasculiferouser vasculiferousest,2,,,,,,,2026-08-14
vesiculopustular,3,not-in-wn,inflection-absent,none,vesiculopustularer vesiculopustularest,2,,vesiculopustularer vesiculopustularest,medical,valid,vesiculopustular,adjective,2026-08-14
wae,3,not-in-wn,mw-absent,none,waeest,1,,,,,,,2026-08-14
abominable,3,wn-adj,inflection-absent,none,abominabler,1,,abominabler,collegiate,valid,abominable abominably,adjective,2026-08-14
accusative,3,wn-adj,inflection-absent,none,accusativer accusativest,2,,accusativer accusativest,collegiate,valid,accusative,adjective,2026-08-14
adaptational,3,wn-adj,inflection-absent,none,adaptationaller adaptationallest,2,,adaptationaller adaptationallest,collegiate,valid,adaptation adaptational adaptationally adaptations,noun,2026-08-14
adsorbable,3,wn-adj,inflection-absent,none,adsorbabler adsorbablest,2,,adsorbabler adsorbablest,collegiate,valid,adsorb adsorbable adsorbed adsorber adsorbers adsorbing adsorbs,verb,2026-08-14
aecial,3,wn-adj,inflection-absent,none,aecialer aecialest,2,,aecialer aecialest,collegiate,valid,aecia aecial aecium,noun,2026-08-14
affable,3,wn-adj,inflection-absent,none,affabler,1,,affabler,collegiate,valid,affabilities affability affable,adjective,2026-08-14
ahistorical,3,wn-adj,inflection-absent,none,ahistoricaler ahistoricalest,2,,ahistoricaler ahistoricalest,collegiate,valid,ahistoric ahistorical ahistorically ahistoricism ahistoricisms ahistoricities ahistoricity,adjective,2026-08-14
amnesic,3,wn-adj,inflection-absent,none,amnesicer amnesicest,2,,amnesicer amnesicest,collegiate,valid,amnesia amnesiac amnesiacs amnesias amnesic amnesics,noun,2026-08-14
androgynous,3,wn-adj,inflection-absent,none,androgynouser androgynousest,2,,androgynouser androgynousest,collegiate,valid,androgynous androgynously,adjective,2026-08-14
anthropical,3,wn-adj,inflection-absent,none,anthropicaler anthropicalest,2,,anthropicaler anthropicalest,collegiate,valid,anthropic anthropical,adjective,2026-08-14
arable,3,wn-adj,inflection-absent,none,arablest,1,,arablest,collegiate,valid,arabilities arability arable,adjective,2026-08-14
arenicolous,3,wn-adj,inflection-absent,none,arenicolouser arenicolousest,2,,arenicolouser arenicolousest,collegiate,valid,arenicolous,adjective,2026-08-14
assiduous,3,wn-adj,inflection-absent,none,assiduouser assiduousest,2,,assiduouser assiduousest,collegiate,valid,assiduous assiduously assiduousness assiduousnesses,adjective,2026-08-14
bacillary,3,wn-adj,inflection-absent,none,bacillarier bacillariest,2,,bacillarier bacillariest,collegiate,valid,bacillar bacillary,adjective,2026-08-14
bisulcate,3,wn-adj,mw-absent,none,bisulcater bisulcatest,2,,,,,,,2026-08-14
blameworthy,3,wn-adj,inflection-listed,none,blameworthier blameworthiest,2,blameworthier blameworthiest,,collegiate,valid,blameworthier blameworthiest blameworthiness blameworthinesses blameworthy,adjective,2026-08-14
caffeinic,3,wn-adj,inflection-absent,none,caffeinicer caffeinicest,2,,caffeinicer caffeinicest,medical,valid,caffeine caffeines caffeinic,noun,2026-08-14
collectable,3,wn-adj,inflection-absent,none,collectablest,1,,collectablest,collegiate,valid,collectabilities collectability collectable collectibilities collectibility collectible,adjective,2026-08-14
contumacious,3,wn-adj,inflection-absent,none,contumaciouser contumaciousest,2,,contumaciouser contumaciousest,collegiate,valid,contumacious contumaciously,adjective,2026-08-14
cuddlesome,3,wn-adj,inflection-absent,none,cuddlesomer cuddlesomest,2,,cuddlesomer cuddlesomest,collegiate,valid,cuddlesome,adjective,2026-08-14
decisive,3,wn-adj,inflection-absent,none,decisivest,1,,decisivest,collegiate,valid,decisive decisively decisiveness decisivenesses,adjective,2026-08-14
defiant,3,wn-adj,inflection-absent,none,defianter defiantest,2,,defianter defiantest,collegiate,valid,defiant,adjective,2026-08-14
dividable,3,wn-adj,inflection-absent,none,dividabler dividablest,2,,dividabler dividablest,collegiate,valid,dividable divide divided divides dividing,verb,2026-08-14
elderly,3,wn-adj,inflection-absent,none,elderlier,1,,elderlier,collegiate,valid,elderliness elderlinesses elderly,adjective,2026-08-14
endemical,3,wn-adj,mw-absent,none,endemicaler endemicalest,2,,,,,,,2026-08-14
endergonic,3,wn-adj,inflection-absent,none,endergonicer endergonicest,2,,endergonicer endergonicest,collegiate,valid,endergonic,adjective,2026-08-14
equitable,3,wn-adj,inflection-absent,none,equitabler equitablest,2,,equitabler equitablest,collegiate,valid,equitabilities equitability equitable equitableness equitablenesses equitably,adjective,2026-08-14
estimable,3,wn-adj,inflection-absent,none,estimabler estimablest,2,,estimabler estimablest,collegiate,valid,estimable estimableness estimablenesses estimably,adjective,2026-08-14
expansive,3,wn-adj,inflection-absent,none,expansivest,1,,expansivest,collegiate,valid,expansive expansively expansiveness expansivenesses,adjective,2026-08-14
fantabulous,3,wn-adj,inflection-absent,none,fantabulouser fantabulousest,2,,fantabulouser fantabulousest,collegiate,valid,fantabulous,adjective,2026-08-14
feckless,3,wn-adj,inflection-absent,none,fecklesser fecklessest,2,,fecklesser fecklessest,collegiate,valid,feckless fecklessly fecklessness fecklessnesses,adjective,2026-08-14
fetid,3,wn-adj,inflection-absent,none,fetider fetidest,2,,fetider fetidest,collegiate,valid,fetid fetidly fetidness fetidnesses,adjective,2026-08-14
fireproof,3,wn-adj,inflection-absent,none,fireproofest,1,,fireproofest,collegiate,valid,fireproof,adjective,2026-08-14
frictional,3,wn-adj,inflection-absent,none,frictionaler frictionalest,2,,frictionaler frictionalest,collegiate,valid,frictional frictionally,adjective,2026-08-14
hardscrabble,3,wn-adj,inflection-absent,none,hardscrabblest,1,,hardscrabblest,collegiate,valid,hardscrabble,adjective,2026-08-14
holographic,3,wn-adj,inflection-absent,none,holographicer holographicest,2,,holographicer holographicest,collegiate,valid,holograph holographic holographically,adjective,2026-08-14
impartial,3,wn-adj,inflection-absent,none,impartialer impartialest,2,,impartialer impartialest,collegiate,valid,impartial impartialities impartiality impartially,adjective,2026-08-14
impassable,3,wn-adj,inflection-absent,none,impassabler impassablest,2,,impassabler impassablest,collegiate,valid,impassabilities impassability impassable impassableness impassablenesses impassably impassibilities impassibility impassible impassibly,adjective,2026-08-14
indubitable,3,wn-adj,inflection-absent,none,indubitabler,1,,indubitabler,collegiate,valid,indubitabilities indubitability indubitable indubitableness indubitablenesses indubitably,adjective,2026-08-14
inscrutable,3,wn-adj,inflection-absent,none,inscrutabler inscrutablest,2,,inscrutabler inscrutablest,collegiate,valid,inscrutabilities inscrutability inscrutable inscrutableness inscrutablenesses inscrutably,adjective,2026-08-14
insupportable,3,wn-adj,inflection-absent,none,insupportabler insupportablest,2,,insupportabler insupportablest,collegiate,valid,insupportable insupportably,adjective,2026-08-14
irreconcilable,3,wn-adj,inflection-absent,none,irreconcilabler irreconcilablest,2,,irreconcilabler irreconcilablest,collegiate,valid,irreconcilabilities irreconcilability irreconcilable irreconcilableness irreconcilablenesses irreconcilably,adjective,2026-08-14
leafless,3,wn-adj,inflection-absent,none,leaflesser leaflessest,2,,leaflesser leaflessest,medical,valid,leaf leafless leaflike leafs leaves,noun,2026-08-14
maneuverable,3,wn-adj,inflection-absent,none,maneuverabler maneuverablest,2,,maneuverabler maneuverablest,collegiate,valid,maneuver maneuverabilities maneuverability maneuverable maneuvered maneuverer maneuverers maneuvering maneuvers,verb,2026-08-14
mindless,3,wn-adj,inflection-absent,none,mindlesser mindlessest,2,,mindlesser mindlessest,collegiate,valid,mindless mindlessly mindlessness mindlessnesses,adjective,2026-08-14
minimal,3,wn-adj,inflection-absent,none,minimalest,1,,minimalest,collegiate,valid,minimal minimally,adjective,2026-08-14
moldable,3,wn-adj,inflection-absent,none,moldabler moldablest,2,,moldabler moldablest,collegiate,valid,mold moldable molded molding molds mouldable,verb,2026-08-14
mosaic,3,wn-adj,inflection-absent,none,mosaicer,1,,mosaicer,collegiate,valid,mosaic mosaiclike mosaics,noun,2026-08-14
nitrous,3,wn-adj,inflection-absent,none,nitrousest,1,,nitrousest,collegiate,valid,nitrous,noun,2026-08-14
nocturnal,3,wn-adj,inflection-absent,none,nocturnaler nocturnalest,2,,nocturnaler nocturnalest,collegiate,valid,nocturnal nocturnally,adjective,2026-08-14
nonadhesive,3,wn-adj,inflection-absent,none,nonadhesiver nonadhesivest,2,,nonadhesiver nonadhesivest,collegiate,valid,nonadhesive,adjective,2026-08-14
nonheritable,3,wn-adj,inflection-absent,none,nonheritabler nonheritablest,2,,nonheritabler nonheritablest,medical,valid,nonheritable,adjective,2026-08-14
nonoperational,3,wn-adj,inflection-absent,none,nonoperationaler nonoperationalest,2,,nonoperationaler nonoperationalest,collegiate,valid,nonoperational,adjective,2026-08-14
nonsensitive,3,wn-adj,inflection-absent,none,nonsensitiver nonsensitivest,2,,nonsensitiver nonsensitivest,collegiate,valid,nonsensitive,adjective,2026-08-14
occlusive,3,wn-adj,inflection-absent,none,occlusiver occlusivest,2,,occlusiver occlusivest,collegiate,valid,occlusive,adjective,2026-08-14
osseous,3,wn-adj,inflection-absent,none,osseouser osseousest,2,,osseouser osseousest,collegiate,valid,osseous,adjective,2026-08-14
outspoken,3,wn-adj,inflection-absent,none,outspokener outspokenest,2,,outspokener outspokenest,collegiate,valid,outspoken outspokenly outspokenness outspokennesses,adjective,2026-08-14
papistic,3,wn-adj,mw-absent,none,papisticer papisticest,2,,,,,,,2026-08-14
passant,3,wn-adj,inflection-absent,none,passanter passantest,2,,passanter passantest,collegiate,valid,passant,adjective,2026-08-14
pericardial,3,wn-adj,inflection-absent,none,pericardialer pericardialest,2,,pericardialer pericardialest,collegiate,valid,pericardial,adjective,2026-08-14
permissive,3,wn-adj,inflection-absent,none,permissivest,1,,permissivest,collegiate,valid,permissive permissively permissiveness permissivenesses,adjective,2026-08-14
